Location,Person Count,Vehicle Count,Injuries,Date,Hit Parked Car
NE 43RD ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,2,2,0,31/03/2013,N
DENNY WAY AND TERRY AVE,2,1,1,22/11/2019,N
2ND AVE AND UNIVERSITY ST,2,1,1,14/03/2019,N
MADISON ST BETWEEN 8TH AVE AND 9TH AVE,3,3,0,15/11/2019,N
1ST AVE S BETWEEN S FIDALGO ST AND EAST MARGINAL WAY S,3,2,0,02/04/2013,N
BEACON ER AVE S BETWEEN S PORTLAND ST AND S CHICAGO ST,0,0,0,10/11/2004,N
BELL ST AND DENNY WAY,2,1,0,26/03/2013,N
S BUSH PL BETWEEN HIAWATHA PL S AND DAVIS PL S,2,2,0,25/05/2019,Y
,2,2,0,06/02/2004,N
DENNY WAY BETWEEN 8TH AVE AND BELL ST,6,2,0,15/03/2019,N
NW 77TH ST BETWEEN 1ST AVE NW AND 3RD AVE NW,0,0,0,23/03/2013,N
12TH AVE E BETWEEN E ROY ST AND E ALOHA ST,2,2,1,17/03/2019,N
MONTLAKE BLVD NE AND NE 44TH ST,2,2,1,25/11/2019,N
ALASKAN WY VI NB AND BATTERY ST TUN ON RP,2,2,0,27/03/2013,N
NE 95TH ST BETWEEN 1ST AVE NE AND 3RD AVE NE,2,2,0,26/03/2013,N
21ST AVE NE AND NE 47TH ST,2,2,0,08/09/2004,N
5TH AVE BETWEEN WALL ST AND VINE ST,2,2,0,05/05/2019,Y
E NEWTON ST BETWEEN EASTLAKE AVE E AND FRANKLIN AVE E,1,0,0,25/03/2013,N
4TH AVE S AND S HOLGATE ST,2,2,0,02/04/2013,N
N NORTHGATE WAY BETWEEN N 105TH E ST AND N 107TH ST,2,2,1,18/03/2019,N
GREENWOOD AVE N BETWEEN N 85TH ST AND N 87TH ST,2,2,0,03/04/2013,N
LAKE CITY WAY NE AND NE 145TH ST,4,2,0,15/09/2019,N
BELMONT AVE E AND E HARRISON ST,2,2,0,25/03/2013,N
S JACKSON ST BETWEEN 14TH AVE S AND 16TH AVE S,2,1,1,25/04/2019,N
5TH AVE AND MARION ST,2,1,1,20/11/2019,N
AURORA AVE N AND N 145TH ST,2,1,1,21/12/2005,N
SAND POINT WAY NE AND NE 74TH ST,2,2,0,24/05/2019,N
MONTLAKE BLVD E AND E SHELBY ST,2,1,1,29/04/2019,N
LAKE WASHINGTON BLVD E BETWEEN E MILLER ST AND E ROANOKE ST,1,0,0,31/03/2013,N
15TH AVE NE AND NE 143RD ST,2,0,1,27/11/2019,N
RAINIER AVE S AND S ROSE S ST,2,2,1,16/03/2019,N
CORLISS AVE N BETWEEN N 77TH ST AND N 80TH E ST,0,0,0,17/11/2019,Y
GREENWOOD AVE N BETWEEN N 134TH ST AND N 136TH ST,2,2,0,02/04/2013,N
15TH AVE NW BETWEEN NW 85TH ST AND NW 87TH ST,2,2,0,10/12/2005,N
S LUCILE ST BETWEEN 13TH AVE S AND 15TH AVE S,2,0,0,01/12/2019,N
28TH AVE E AND E MADISON ST,3,3,3,20/11/2019,N
M L KING JR ER WAY S AND S OTHELLO ST,2,0,1,01/12/2019,N
23RD AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2,2,0,23/07/2004,N
13TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,0,0,0,19/05/2019,Y
4TH AVE BETWEEN PINE ST AND OLIVE WAY,2,2,0,16/03/2019,N
NE 66TH ST BETWEEN 14TH AVE NE AND 15TH AVE NE,2,2,0,07/01/2013,N
33RD AVE NE AND NE 77TH ST,2,0,2,14/03/2019,N
32ND AVE W BETWEEN W SMITH N ST AND W RAYE ST,2,0,0,23/11/2019,Y
49TH AVE NE BETWEEN DEAD END 1 AND NE 39TH W ST,2,2,0,18/05/2005,N
DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,2,2,0,24/10/2006,N
15TH AVE NE AND NE 125TH ST,2,1,1,21/11/2019,N
LAKE WASHINGTON BLVD S BETWEEN S DAWSON ST AND LAKE WASHINGTON WR BLVD S,2,2,0,22/11/2019,N
LINDEN AVE N BETWEEN N 94TH ST AND N 95TH ST,2,2,0,12/02/2006,N
39TH AVE S BETWEEN S AUSTIN ST AND S HOLDEN ST,0,0,0,29/05/2019,Y
AURORA AVE N BETWEEN N NORTHGATE WAY AND N 107TH S ST,2,2,0,14/03/2019,N
N 122ND ST BETWEEN MERIDIAN AVE N AND CORLISS AVE N,3,2,0,01/04/2013,N
NE 47TH ST BETWEEN 15TH AVE NE AND 16TH AVE NE,2,0,0,22/01/2019,Y
NW 64TH ST BETWEEN 9TH AVE NW AND 11TH AVE NW,2,2,0,15/11/2019,Y
LAKE CITY WAY NE BETWEEN NE 143RD ST AND NE 145TH ST,3,2,1,27/03/2013,N
36TH AVE NE AND NE 85TH ST,4,4,0,26/03/2013,N
SW LANDER ST BETWEEN SW ADMIRAL W WAY AND SW CAMPBELL PL,2,0,0,28/05/2019,Y
,2,2,0,25/05/2006,N
8TH AVE BETWEEN VIRGINIA ST AND WESTLAKE AVE,3,2,0,05/05/2019,N
N 130TH ST BETWEEN AURORA AVE N AND STONE AVE N,0,0,0,26/06/2018,N
10TH AVE NW BETWEEN NW 67TH ST AND NW 70TH W ST,2,2,0,23/03/2013,N
17TH AVE NW BETWEEN NW 49TH ST AND NW 50TH ST,0,0,0,24/01/2019,Y
2ND AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,2,2,0,25/11/2019,N
BEACON WR N AVE S BETWEEN BEACON AVE S AND BEACON ER S AVE S,4,2,2,02/08/2005,N
SEWARD PARK AVE S BETWEEN S FONTANELLE PL AND S KENYON ST,2,2,0,26/03/2013,N
S HORTON ST BETWEEN 2ND AVE S AND 3RD AVE S,4,2,1,19/03/2005,N
