Location,Person Count,Vehicle Count,Injuries,Date,Hit Parked Car
5TH AVE NE AND NE 71ST ST,2,2,0,06/07/2004,N
37TH AVE SW BETWEEN SW TILLMAN ST AND SW CLOVERDALE ST,0,0,0,23/11/2004,N
AURORA AVE N BETWEEN N 75TH ST AND N 76TH ST,0,0,0,05/01/2004,N
AURORA AVE N AND N 143RD ST,0,0,0,04/09/2004,N
NE 92ND ST BETWEEN 5TH AVE NE AND 8TH AVE NE,1,1,0,21/06/2004,N
MONTLAKE BLVD E BETWEEN EAST MONTLAKE PL E AND SR520 WB MONTLAKE BV OFF RP,6,2,0,16/08/2004,N
15TH SB AVE NW BETWEEN NW BALLARD WAY AND NW LEARY WAY,1,1,0,18/04/2004,N
42ND AVE SW AND SW HOLLY ST,0,0,0,10/11/2004,N
SW WEBSTER ST BETWEEN 15TH AVE SW AND 16TH AVE SW,2,2,0,05/10/2004,N
EAST GREEN LAKE WAY N BETWEEN N 64TH ST AND N 65TH ST,3,3,0,20/05/2004,N
NW 58TH ST BETWEEN 17TH AVE NW AND 20TH AVE NW,2,2,0,18/07/2004,N
12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,6,2,5,19/07/2004,N
W GALER ST BETWEEN 28TH AVE W AND MAGNOLIA BLVD W,1,1,0,01/02/2004,N
10TH AVE E BETWEEN E LYNN ST AND E MILLER ST,2,2,0,29/06/2004,N
49TH AVE S AND S ADAMS ST,2,2,2,23/08/2004,N
AURORA AVE N BETWEEN N 135TH ST AND N 137TH ST,0,0,0,29/12/2004,N
NW 117TH ST BETWEEN 4TH AVE NW AND 6TH AVE NW,2,2,0,06/08/2004,N
NE 50TH ST BETWEEN 15TH AVE NE AND 16TH AVE NE,2,1,1,01/05/2004,N
N 96TH ST BETWEEN LINDEN AVE N AND AURORA N AVE N,2,2,0,19/09/2004,N
BROADWAY CT AND E UNION ST,2,2,0,27/11/2004,N
1ST AVE S AND S HUDSON ST,4,2,1,04/12/2004,N
DELRIDGE WAY SW AND SW CLOVERDALE ST,2,1,1,05/05/2004,N
40TH AVE NE BETWEEN SAND POINT WAY NE AND NE 50TH ST,2,2,1,20/11/2004,N
3RD AVE AND CHERRY ST,4,2,0,27/03/2004,N
34TH AVE NE BETWEEN NE 115TH ST AND 35TH AVE NE,0,0,0,01/11/2004,N
ROOSEVELT WAY NE BETWEEN NE 64TH ST AND NE 65TH ST,2,2,1,03/04/2004,N
JOHN ST BETWEEN 5TH AVE N AND TAYLOR AVE N,2,2,0,14/07/2004,N
BOREALIS AVE AND DENNY WAY,2,2,0,30/07/2004,N
TAYLOR AVE N BETWEEN GARFIELD ST AND TAYLOR PL N,1,1,0,18/02/2004,N
E SHELBY ST BETWEEN WEST PARK DR E AND MONTLAKE BLVD E,2,2,0,11/05/2004,N
S COLUMBIAN WAY BETWEEN 16TH AVE S AND VETRN HOSPITAL DR,2,2,0,03/03/2004,N
HEIGHTS AVE SW BETWEEN HEIGHTS PL SW AND 41ST AVE SW,2,2,0,20/07/2004,N
NE 65TH ST BETWEEN 22ND AVE NE AND RAVENNA AVE NE,0,0,0,01/06/2004,N
FAUNTLEROY WAY SW BETWEEN SW MONROE ST AND SW ROSE ST,2,2,0,22/04/2004,N
8TH AVE BETWEEN STEWART ST AND VIRGINIA ST,2,2,0,15/03/2004,N
WEST SEATTLE BR EB BETWEEN ALASKAN WY VI NB ON RP AND DELRIDGE-W SEATTLE BR EB ON RP,1,1,0,18/06/2004,N
S JACKSON ST BETWEEN 22ND AVE S AND 23RD AVE S,2,2,1,12/11/2004,N
22ND AVE NE AND NE 54TH ST,3,2,0,17/12/2004,N
E PINE ST BETWEEN BELLEVUE AVE AND CRAWFORD PL,3,2,0,13/02/2004,N
5TH AVE N BETWEEN MERCER ST AND ROY ST,4,3,0,09/09/2004,N
DENNY WAY BETWEEN TERRY AVE AND BOREN AVE N,0,0,0,09/03/2004,N
BEACON WR AVE S AND S GRAHAM ST,4,2,0,11/02/2004,N
COLUMBIA ST BETWEEN 5TH AVE AND 6TH AVE,2,2,0,12/04/2004,N
SW EDMUNDS ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,2,2,0,24/09/2004,N
15TH AVE NW AND NW 57TH ST,2,2,1,06/02/2004,N
NE 41ST ST BETWEEN 45TH AVE NE AND 48TH AVE NE,0,0,0,05/07/2004,N
UNIVERSITY BR BETWEEN POINT A AND POINT B,4,4,0,27/05/2004,N
E MADISON ST BETWEEN 20TH AVE AND E DENNY WAY,3,2,1,24/11/2004,N
M L KING JR WR WAY S BETWEEN S ORCAS ST AND S RAYMOND ST,2,2,1,26/05/2004,N
21ST AVE S AND S COLLEGE ST,2,2,2,20/09/2004,N
27TH PL W BETWEEN 26TH AVE W AND W MANOR PL,0,0,0,15/12/2004,N
35TH AVE SW AND SW BRANDON ST,3,3,1,19/05/2004,N
DENNY WAY BETWEEN DEXTER AVE AND 8TH AVE,2,2,0,05/09/2004,N
42ND AVE S AND RAINIER AVE S,2,2,0,08/01/2004,N
JAMES ST BETWEEN 2ND AVE AND 3RD AVE,0,0,0,10/11/2004,N
NW MARKET ST BETWEEN 24TH AVE NW AND 26TH AVE NW,0,0,0,22/10/2004,N
NE 45TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,0,0,0,13/12/2004,N
E BOSTON ST BETWEEN YALE AVE E AND EASTLAKE AVE E,2,2,0,04/07/2004,N
11TH AVE BETWEEN E PIKE ST AND E PINE ST,3,2,0,19/07/2004,N
5TH AVE AND CHERRY ST,3,2,0,23/03/2004,N
NE 75TH ST BETWEEN 23RD AVE NE AND 24TH AVE NE,1,1,0,02/01/2004,N
RAINIER AVE S BETWEEN S OREGON ST AND S ALASKA ST,3,3,0,08/10/2004,N
RENTON AVE S AND S ROXBURY ST,4,2,1,16/04/2004,N
,0,0,0,14/12/2004,N
LINDEN AVE N AND N 83RD ST,2,2,1,20/07/2004,N
26TH AVE BETWEEN E ALDER ST AND E JEFFERSON ST,2,2,0,20/08/2004,N
WESTLAKE AVE N AND VALLEY ST,3,2,1,19/08/2004,N
RAINIER AVE S BETWEEN S HUDSON ST AND 39TH N AVE S,0,0,0,02/02/2004,N
42ND AVE SW BETWEEN SW ALASKA ST AND SW EDMUNDS ST,2,2,0,15/05/2004,N
S GRAHAM ST BETWEEN 33RD AVE S AND M L KING JR WR WAY S,3,2,2,31/01/2004,N
16TH AVE SW AND SW HOLDEN ST,7,3,1,15/03/2004,N
RAINIER AVE S BETWEEN I90 EB OFF RP AND RAINIER NB I90 EB ON RP,0,0,0,29/03/2004,N
BOREN AVE AND UNIVERSITY ST,2,2,0,10/07/2004,N
THACKERAY PL NE BETWEEN NE 44TH ST AND NE 45TH ST,2,2,0,01/03/2004,N
2ND AVE N BETWEEN ALOHA ST AND WARD ST,2,2,0,10/02/2004,N
7TH AVE S BETWEEN S WELLER ST AND S LANE ST,2,2,0,27/05/2004,N
N 137TH ST BETWEEN 1ST AVE NW AND PALATINE AVE N,2,2,0,03/10/2004,N
MARION ST BETWEEN 1ST AVE AND 2ND AVE,0,0,0,06/01/2004,N
RAINIER AVE S BETWEEN 68TH AVE S AND CORNELL AVE S,2,1,2,26/04/2004,N
6TH AVE BETWEEN YESLER WAY AND 6TH AV ON RP,0,2,0,26/07/2004,N
U VILLAGE DR AND NE 45TH ST,3,2,1,22/10/2004,N
BELLEVUE AVE BETWEEN E PIKE ST AND E PINE ST,3,3,0,24/06/2004,N
N 85TH ST BETWEEN AURORA AVE N AND NESBIT AVE N,2,2,0,02/04/2004,N
DENNY WAY BETWEEN STEWART ST AND MELROSE AVE,6,2,1,18/12/2004,N
RAINIER AVE S AND S EDMUNDS ST,2,2,0,05/10/2004,N
35TH AVE SW BETWEEN SW MONROE ST AND SW ELMGROVE N ST,2,2,0,18/03/2004,N
BEACON WR AVE S BETWEEN S MYRTLE ST AND S OTHELLO ST,0,0,0,11/12/2004,N
NE 41ST ST BETWEEN ROOSEVELT WAY NE AND EASTLAKE AVE NE,1,1,0,24/02/2004,N
S DEARBORN ST BETWEEN RAINIER AVE S AND HIAWATHA PL S,2,2,0,06/08/2004,N
ELLIOTT AVE W BETWEEN W LEE ST AND W GALER ST FLYOVER,0,0,0,24/02/2004,N
NE 66TH ST BETWEEN ROOSEVELT WAY NE AND DEAD END,2,2,0,02/09/2004,N
13TH AVE W AND W DRAVUS ST,2,2,0,16/02/2004,N
5TH AVE BETWEEN SPRING ST AND SENECA ST,4,3,2,22/08/2004,N
E LYNN ST BETWEEN EASTLAKE AVE E AND FRANKLIN AVE E,0,0,0,29/10/2004,N
8TH AVE NW AND NW 67TH ST,4,2,0,24/11/2004,N
M L KING JR WR WAY S BETWEEN S WILLOW ST AND S MYRTLE ST,2,2,0,10/07/2004,N
ALASKAN WAY BETWEEN MADISON ST AND SPRING ST,0,0,0,24/08/2004,N
BEACON WR AVE S AND MILITARY RD S,5,2,0,24/08/2004,N
RAINIER AVE S AND S FRONTENAC ST,0,0,0,23/12/2004,N
44TH AVE SW BETWEEN SW HINDS ST AND SW SPOKANE ST,4,4,0,13/02/2004,N
N 38TH ST BETWEEN INTERLAKE AVE N AND ASHWORTH AVE N,2,2,0,05/06/2004,N
NW MARKET ST BETWEEN BALLARD AVE NW AND 24TH AVE NW,0,0,0,06/07/2004,N
BLANCHARD ST BETWEEN WESTERN AVE AND 1ST AVE,2,2,0,11/02/2004,N
RAINIER AVE S BETWEEN S HOLGATE ST AND S PLUM ST,3,2,0,13/01/2004,N
COLLEGE WAY N AND N 100TH ST,0,2,0,04/05/2004,N
M L KING JR WR WAY S BETWEEN S GRAHAM ST AND S MORGAN ST,0,0,0,22/12/2004,N
RAINIER AVE S AND S ALASKA ST,2,1,1,11/06/2004,N
RAINIER AVE S BETWEEN S DEARBORN ST AND S CHARLES N ST,3,2,2,08/03/2004,N
BATTERY ST TUNNEL SB BETWEEN AURORA AVE N AND ALASKAN WY VI SB,1,1,0,26/11/2004,N
8TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,2,2,0,12/06/2004,N
GREENWOOD AVE N BETWEEN HOLMAN RD N AND N 107TH ST,5,2,0,13/11/2004,N
NE BLAKELEY ST BETWEEN RAVENNA PL NE AND 25TH AVE NE,3,2,0,02/06/2004,N
AURORA AVE N BETWEEN N 135TH ST AND N 137TH ST,5,3,1,23/08/2004,N
E CHERRY ST BETWEEN 18TH AVE AND 19TH AVE,2,2,0,06/04/2004,N
N 78TH ST BETWEEN LINDEN AVE N AND AURORA AVE N,2,2,0,03/09/2004,N
MERCER ST BETWEEN 5TH AVE N AND TAYLOR AVE N,0,0,0,28/12/2004,N
HALLADAY ST BETWEEN AURORA AVE N AND BIRCH AVE N,0,0,0,16/09/2004,N
WESTERN AVE W BETWEEN W DENNY WAY AND 1ST AVE W,2,2,0,21/04/2004,N
BALLARD AVE NW AND NW VERNON PL,2,2,0,15/02/2004,N
35TH AVE SW AND SW AVALON WAY,3,2,2,03/02/2004,N
N 145TH ST BETWEEN STONE AVE N AND INTERLAKE AVE N,2,2,0,04/10/2004,N
32ND AVE S BETWEEN S NORMAN ST AND S JUDKINS ST,2,2,0,19/11/2004,N
5TH AVE S BETWEEN S JACKSON ST AND S KING ST,2,1,0,09/04/2004,N
S KING ST BETWEEN 1ST AVE S AND OCCIDENTAL W AVE S,2,2,0,12/05/2004,N
RENTON AVE S AND S FOUNTAIN ST,0,0,0,09/12/2004,N
ALASKAN WY VI SB WSB WB OFF RP BETWEEN ALASKAN WY VI SB AND WEST SEATTLE BR WB,1,1,1,23/05/2004,N
M L KING JR WR WAY S BETWEEN BEACON AVE S AND MERTON WAY S,5,2,1,26/03/2004,N
RAILROAD WAY S BETWEEN S KING ST AND 1ST N AVE S,0,0,0,09/01/2004,N
11TH AVE SW AND SW ELMGROVE ST,4,2,2,21/03/2004,N
16TH AVE NW BETWEEN NW 67TH ST AND NW 70TH ST,0,0,0,15/11/2004,N
MERCER ST BETWEEN TAYLOR AVE N AND 6TH AVE N,2,2,0,08/06/2004,N
AURORA AVE N BETWEEN BATTERY ST TUNNEL NB AND THOMAS ST,2,1,0,26/12/2004,N
M L KING JR ER WAY S BETWEEN S NORFOLK ST AND CITY LIMITS,4,3,0,19/02/2004,N
28TH AVE S BETWEEN S LANE ST AND S DEARBORN N ST,2,2,0,15/06/2004,N
EAST MARGINAL WAY S BETWEEN 1ST AV S BR NB AND S FRONT ST,2,2,1,23/06/2004,N
8TH AVE NW AND NW 65TH ST,0,0,0,24/12/2004,N
,0,0,0,12/10/2004,N
12TH AVE BETWEEN E PIKE ST AND E PINE ST,2,1,1,03/05/2004,N
M L KING JR WR WAY S AND S DELLA ST,3,2,2,01/05/2004,N
FAUNTLEROY WAY SW BETWEEN SW OREGON ST AND 38TH AVE SW,0,0,0,19/12/2004,N
35TH AVE SW AND SW JUNEAU ST,2,2,0,28/11/2004,N
23RD AVE BETWEEN E TERRACE ST AND E JEFFERSON ST,0,0,0,08/08/2004,N
MERIDIAN AVE N BETWEEN COLLEGE WAY N AND N 105TH ST,0,0,0,13/01/2004,N
AURORA AVE N BETWEEN N 143RD ST AND ROOSEVELT WAY N,3,2,1,05/03/2004,N
5TH AVE W BETWEEN W MERCER ST AND W ROY ST,2,2,0,21/04/2004,N
N 36TH ST BETWEEN PHINNEY AVE N AND FRANCIS AVE N,2,2,0,04/08/2004,N
FREMONT AVE N AND N MOTOR PL,3,2,0,28/06/2004,N
8TH AVE NW BETWEEN NW 67TH ST AND NW 70TH ST,2,2,0,07/01/2004,N
RAINIER AVE S BETWEEN S CLOVERDALE ST AND S HENDERSON ST,0,0,0,16/06/2004,N
12TH AVE S AND S WELLER ST,0,0,0,28/11/2004,N
BALLARD BR BETWEEN POINT A AND POINT B,7,4,1,09/06/2004,N
,0,0,0,13/01/2004,N
33RD AVE NE AND NE 62ND ST,2,2,0,04/11/2004,N
15TH AVE S BETWEEN S DAKOTA ST AND S NEVADA ST,2,1,1,15/10/2004,N
15TH AVE SW BETWEEN SW BARTON ST AND SW CAMBRIDGE ST,2,2,0,07/12/2004,N
N 105TH ST BETWEEN WHITMAN AVE N AND AURORA AVE N,3,2,0,28/10/2004,N
BELMONT AVE E BETWEEN E REPUBLICAN ST AND E MERCER ST,5,5,0,18/09/2004,N
NE 47TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,2,2,0,22/01/2004,N
25TH AVE NE BETWEEN NE 54TH ST AND NE 55TH ST,2,2,0,28/10/2004,N
S ALASKA ST BETWEEN 35TH AVE S AND RAINIER AVE S,2,2,0,13/05/2004,N
8TH AVE NW AND NW 95TH ST,2,2,0,11/09/2004,N
RAINIER AVE S BETWEEN S MEAD ST AND S JUNEAU ST,5,2,1,24/04/2004,N
ROOSEVELT WAY NE BETWEEN NE 114TH N ST AND NE 115TH ST,0,0,0,29/12/2004,N
BELLEVUE AVE BETWEEN E HOWELL ST AND E DENNY WAY,2,2,0,01/11/2004,N
S WASHINGTON ST BETWEEN M L KING JR WAY S AND 28TH AVE S,2,2,0,13/07/2004,N
HARBOR AVE SW BETWEEN SW FLORIDA ST AND SW HARBOR LN,4,2,1,05/01/2004,N
FAIRVIEW AVE N AND MERCER ST,2,2,0,24/01/2004,N
ELLIOTT ER AVE W AND WESTERN AVE W,4,2,3,13/02/2004,N
LAKE CITY WAY NE AND NE 123RD ST,2,2,1,25/06/2004,N
35TH AVE SW AND SW AVALON WAY,3,2,0,05/02/2004,N
MONTLAKE BLVD NE AND NE PACIFIC PL,0,0,0,30/09/2004,N
PIKE ST AND CONVENTION PL,3,2,0,14/01/2004,N
7TH AVE S BETWEEN S KING ST AND S WELLER ST,2,2,0,07/03/2004,N
RAINIER AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,3,2,1,05/04/2004,N
AURORA AVE N AND N 97TH ST,2,2,1,16/09/2004,N
NE 42ND ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,2,2,0,10/01/2004,N
2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,0,0,0,06/10/2004,N
WABASH AVE S BETWEEN S ROSE S ST AND CLOVERDALE PL S,2,2,0,10/12/2004,N
FAUNTLEROY WAY SW BETWEEN SW ALASKA ST AND SW EDMUNDS ST,2,2,1,13/09/2004,N
1ST AVE NE AND NE NORTHGATE WAY,0,2,0,08/05/2004,N
8TH AVE AND PIKE ST,4,2,0,12/06/2004,N
STEWART ST AND WESTLAKE AVE,2,2,0,01/09/2004,N
S JACKSON ST BETWEEN 14TH AVE S AND 16TH AVE S,0,0,0,08/10/2004,N
24TH AVE S AND S LANE S ST,4,2,0,01/10/2004,N
16TH AVE SW BETWEEN SW FINDLAY ST AND SW MORGAN ST,2,2,0,21/07/2004,N
RAINIER AVE S BETWEEN S ALASKA ST AND S ANGELINE ST,2,2,0,28/07/2004,N
12TH AVE S BETWEEN S KING ST AND S WELLER ST,4,2,0,22/05/2004,N
15TH AVE E AND E THOMAS N ST,0,0,0,08/09/2004,N
EASTLAKE AVE E BETWEEN E LYNN ST AND E LOUISA ST,3,2,0,30/08/2004,N
ROOSEVELT WAY NE AND NE 80TH ST,2,2,1,15/01/2004,N
M L KING JR WAY BETWEEN E PIKE ST AND E PINE ST,0,0,0,28/08/2004,N
31ST AVE S BETWEEN S LANE ST AND S NORMAN ST,4,3,2,15/07/2004,N
RENTON AVE S BETWEEN S TRENTON ST AND S HENDERSON ST,2,2,0,14/02/2004,N
BLANCHARD ST AND WESTLAKE AVE,3,2,0,28/08/2004,N
DELRIDGE WAY SW BETWEEN SW FINDLAY ST AND SW JUNEAU ST,3,2,2,24/05/2004,N
9TH AVE AND JAMES ST,0,0,0,18/02/2004,N
SW OTHELLO ST BETWEEN 45TH AVE SW AND BLAKE PL SW,2,2,0,30/07/2004,N
FRANCIS AVE N BETWEEN N 43RD ST AND N 44TH ST,2,2,0,08/02/2004,N
S HENDERSON ST BETWEEN 5TH AVE S AND 7TH AVE S,2,2,0,20/03/2004,N
CHERRY ST BETWEEN 8TH AVE AND 9TH AVE,0,0,0,02/02/2004,N
15TH AVE S BETWEEN S ANGELINE ST AND S FERDINAND ST,3,3,1,07/12/2004,N
8TH AVE NW AND NW 44TH ST,2,1,0,14/06/2004,N
15TH AVE NE AND NE PACIFIC ST,6,1,1,22/07/2004,N
9TH AVE NW BETWEEN NW 87TH ST AND NW 88TH ST,1,1,1,21/09/2004,N
30TH AVE NE AND NE 110TH ST,2,2,1,14/04/2004,N
13TH AVE AND E CHERRY ST,3,2,0,28/05/2004,N
RAINIER AVE S BETWEEN S CHARLESTOWN ST AND S ANDOVER ST,0,0,0,08/05/2004,N
1ST AVE AND CLAY ST,2,2,0,08/04/2004,N
SEWARD PARK AVE S AND S FISHER PL,2,2,0,12/10/2004,N
13TH AVE AND E CHERRY ST,4,3,3,11/03/2004,N
E REPUBLICAN ST BETWEEN 14TH AVE E AND MALDEN AVE E,2,2,1,19/05/2004,N
NW LEARY WAY BETWEEN 14TH AVE NW AND 15TH NB AVE NW,0,0,0,13/06/2004,N
4TH AVE S AND SEATTLE BLVD S,2,2,0,01/04/2004,N
NORTH PARK AVE N BETWEEN DEAD END 2 AND N 137TH ST,2,2,0,20/09/2004,N
BROADWAY BETWEEN JEFFERSON ST AND MINOR AVE,2,2,0,06/12/2004,N
AURORA AVE N BETWEEN N 143RD ST AND ROOSEVELT WAY N,2,2,0,29/11/2004,N
15TH AVE S BETWEEN S BAYVIEW ST AND BEACON AVE S,0,0,0,31/12/2004,N
E ROANOKE ST BETWEEN BROADWAY E AND 10TH W AVE E,1,1,0,24/05/2004,N
,2,1,1,11/07/2004,N
RAINIER AVE S BETWEEN S HENDERSON ST AND S DIRECTOR N ST,4,2,1,15/06/2004,N
W EMERSON PL BETWEEN 21ST AVE W AND 22ND AVE W,0,0,0,11/05/2004,N
33RD AVE NE AND NE 123RD ST,4,2,1,18/06/2004,N
NW 116TH ST BETWEEN 12TH AVE NW AND DEAD END,0,0,0,01/11/2004,N
E MADISON ST BETWEEN 25TH AVE E AND 26TH AVE E,0,0,0,16/03/2004,N
17TH NB AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,2,2,0,04/11/2004,N
ELLIOTT AVE BETWEEN WALL ST AND VINE ST,3,3,2,17/08/2004,N
RENTON AVE S BETWEEN S HENDERSON ST AND S BARTON ST,2,2,0,11/03/2004,N
DENNY WAY BETWEEN MINOR AVE AND VIRGINIA ST,9,3,3,14/02/2004,N
7TH AVE AND SPRING ST,3,2,1,03/07/2004,N
W NICKERSON ST BETWEEN 6TH AVE W AND 8TH AVE W,2,2,1,03/06/2004,N
FAUNTLEROY WAY SW BETWEEN SW ANDOVER ST AND WEST SEATTLE BR EB,2,2,0,07/01/2004,N
16TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,0,0,0,10/11/2004,N
4TH AVE AND BATTERY ST,2,2,0,23/02/2004,N
24TH AVE E BETWEEN E LYNN ST AND E MCGRAW ST,0,0,0,13/05/2004,N
6TH AVE NW AND HOLMAN RD NW,3,1,2,23/10/2004,N
DEXTER AVE N BETWEEN HALLADAY ST AND 4TH S AVE N,0,0,0,26/05/2004,N
E CHERRY ST BETWEEN E JAMES WAY AND 12TH AVE,0,0,0,30/03/2004,N
9TH AVE NE BETWEEN NE 43RD ST AND NE 45TH W ST,2,2,0,08/06/2004,N
GREENWOOD AVE N BETWEEN N 53RD ST AND N 54TH ST,2,2,0,27/05/2004,N
DELRIDGE WAY SW AND SW ORCHARD ST,3,2,0,31/01/2004,N
ALASKAN WY VI NB BETWEEN S ROYAL BROUGHAM WAY ON RP AND SENECA ST OFF RP,2,2,0,05/06/2004,N
7TH AVE AND PIKE ST,3,2,0,18/10/2004,N
1ST AV S BR NB BETWEEN POINT A AND SR509 NB,3,3,3,01/06/2004,N
EDGAR MARTINEZ DR S BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,1,1,0,26/02/2004,N
N 143RD ST BETWEEN EVANSTON AVE N AND LINDEN AVE N,2,2,0,26/09/2004,N
LATONA AVE NE BETWEEN NE 64TH ST AND NE 65TH E ST,3,2,0,28/04/2004,N
NW 62ND ST BETWEEN 24TH AVE NW AND 26TH AVE NW,2,1,0,21/05/2004,N
AURORA BR BETWEEN RAYE ST AND BRIDGE WAY N,2,2,2,27/05/2004,N
NE 115TH ST BETWEEN 26TH AVE NE AND LAKE CITY WAY NE,0,0,0,25/05/2004,N
9TH AVE N AND MERCER SR ST,0,0,0,19/12/2004,N
RENTON AVE S BETWEEN S WEBSTER W ST AND 43RD AVE S,3,2,1,21/11/2004,N
NE 50TH ST BETWEEN 15TH AVE NE AND 16TH AVE NE,2,2,0,20/10/2004,N
S JACKSON ST BETWEEN 12TH AVE S AND 14TH AVE S,2,2,1,27/02/2004,N
LAKE WASHINGTON BLVD E BETWEEN E MADISON ST AND ARBORETUM DR E,2,2,0,09/10/2004,N
S JACKSON ST BETWEEN 26TH AVE S AND M L KING JR WAY S,2,2,0,03/12/2004,N
PIKE ST BETWEEN CONVENTION PL AND TERRY AVE,6,3,4,01/06/2004,N
WEST SEATTLE BR EB BETWEEN ALASKAN WY VI NB ON RP AND DELRIDGE-W SEATTLE BR EB ON RP,0,0,0,17/11/2004,N
E UNION ST BETWEEN SENECA ST AND BROADWAY,4,3,0,21/09/2004,N
11TH AVE NW AND NW BALLARD WAY,3,2,1,08/04/2004,N
ELLIOTT AVE W BETWEEN ELLIOTT ER AVE W AND W THOMAS S ST,3,2,0,23/10/2004,N
ALASKAN WAY S AND S KING ST,0,0,0,03/10/2004,N
30TH AVE NW AND NW 85TH ST,2,2,0,06/01/2004,N
7TH SB AVE N BETWEEN JOHN ST AND THOMAS ST,2,2,1,06/08/2004,N
BROAD ST BETWEEN 4TH AVE N AND 5TH AVE N,2,2,1,10/10/2004,N
M L KING JR WR WAY S BETWEEN S MORGAN ST AND 38TH AVE S,1,1,1,17/04/2004,N
BEACON AVE S AND S MCCLELLAN ST,2,2,0,20/03/2004,N
4TH AVE SB OFF RP AND EDGAR MARTINEZ DR S,4,2,0,10/12/2004,N
BOYLSTON AVE E BETWEEN E ROANOKE ST AND BOYLSTON AV E OFF RP,2,2,0,23/03/2004,N
MADISON ST BETWEEN BOREN AVE AND MINOR AVE,0,0,0,20/12/2004,N
EASTLAKE AVE E BETWEEN E NEWTON ST AND E BOSTON ST,0,0,0,29/12/2004,N
BATTERY ST TUNNEL SB BETWEEN AURORA AVE N AND ALASKAN WY VI SB,4,2,1,14/12/2004,N
28TH AVE S AND S JACKSON ST,2,2,0,24/08/2004,N
14TH AVE BETWEEN E UNION ST AND E MADISON ST,2,2,1,02/01/2004,N
E UNION ST BETWEEN SENECA ST AND BROADWAY,2,2,0,12/11/2004,N
2ND AVE AND WALL ST,2,1,1,09/02/2004,N
S DEARBORN ST BETWEEN MAYNARD AVE S AND 7TH AVE S,6,2,0,17/07/2004,N
DELRIDGE WAY SW BETWEEN SW THISTLE ST AND SW CLOVERDALE ST,3,2,1,22/06/2004,N
24TH AVE NW BETWEEN NW 77TH ST AND NW 80TH ST,2,2,0,23/10/2004,N
NW 82ND ST BETWEEN 6TH AVE NW AND 8TH AVE NW,0,0,0,15/10/2004,N
AURORA BR BETWEEN RAYE ST AND BRIDGE WAY N,0,0,0,17/05/2004,N
10TH AVE E BETWEEN E ALOHA ST AND E PROSPECT ST,3,2,0,27/05/2004,N
S COLUMBIAN WAY AND S SPOKANE ST,3,2,3,24/02/2004,N
STONE WAY N AND N 40TH ST,2,1,1,21/04/2004,N
HIGHLAND PARK WAY SW AND SW HOLDEN N ST,2,2,1,28/10/2004,N
5TH AVE S AND S WASHINGTON ST,0,0,0,17/01/2004,N
DEXTER AVE N BETWEEN ROY ST AND VALLEY ST,0,0,0,18/10/2004,N
8TH AVE NE BETWEEN NE 50TH ST AND NE 53RD ST,2,2,0,14/08/2004,N
13TH AVE NW BETWEEN NW 83RD ST AND NW 85TH ST,3,3,0,03/11/2004,N
10TH AVE E BETWEEN E MILLER ST AND E ROANOKE W ST,2,2,0,13/10/2004,N
SW ROSE ST BETWEEN 39TH AVE SW AND 41ST AVE SW,2,2,0,01/01/2004,N
CHERRY ST BETWEEN 7TH AVE AND 8TH AVE,2,2,1,20/08/2004,N
RAINIER AVE S AND S ORCAS ST,0,0,0,29/04/2004,N
GREENWOOD AVE N BETWEEN N 133RD ST AND N 134TH ST,2,2,0,12/05/2004,N
N 64TH ST BETWEEN DAYTON E AVE N AND EVANSTON AVE N,2,2,0,06/01/2004,N
E PIKE ST BETWEEN 18TH AVE AND DEAD END,0,0,0,25/02/2004,N
DENSMORE AVE N BETWEEN N 80TH E ST AND N 82ND ST,0,0,0,12/11/2004,N
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,2,2,0,11/08/2004,N
17TH AVE NW BETWEEN NW 57TH ST AND NW 58TH ST,2,2,0,24/05/2004,N
WESTERN AVE W BETWEEN 3RD AVE W AND ELLIOTT AVE W,2,2,0,08/03/2004,N
18TH AVE S AND S LANDER E ST,2,2,0,04/12/2004,N
S SPOKANE SR ST BETWEEN 2ND AVE S AND 4TH AVE S,0,0,0,28/12/2004,N
BATTERY ST TUNNEL SB BETWEEN AURORA AVE N AND ALASKAN WY VI SB,2,2,0,11/06/2004,N
W PLYMOUTH ST BETWEEN 26TH AVE W AND 28TH AVE W,2,2,0,19/06/2004,N
N 43RD ST BETWEEN EVANSTON AVE N AND FREMONT S AVE N,5,2,0,11/06/2004,N
EAST MARGINAL WAY S BETWEEN 1ST AV S BR NB AND S FRONT ST,1,1,0,11/09/2004,N
EAST MARGINAL WAY S BETWEEN ELLIS AVE S AND S WEBSTER ST,3,2,1,03/09/2004,N
